 **************************************************************************************
 ************		        DDFS3D_tri_part2		             **********
 ************	             Algorithm developed by                          **********
 ************	   Kuriyama et al.(1993 & 1995), Tang et al. (2019)          **********
 ************			and Wong and Cui (2021)		             **********
 ************	      Codes developed by Wong and Cui (2021)	             **********
 ************ incorporating the contribution of Kuriyama et al.(1993 & 1995) **********
 ************	          DDFS3D (version 1.0), 31-5-2021		     **********
 **************************************************************************************
 Title: Flawed Brazilian disk(section S3-3 of the companion paper)to verify the triangular element                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3576
 Number of nodes   :      1794
 Computing time    :    861.14 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
   50   -2.3289E-05   -1.3877E-05   -5.0622E+00   -3.8137E-03   -6.4553E-04    3.4777E-03
   51   -4.3943E-04    5.6658E-06   -4.6323E+00    4.9187E-03    6.4348E-04    7.0360E-04
   52    3.5045E-04   -5.0322E-06   -4.6773E+00   -4.8787E-03   -7.1677E-04    1.4305E-03
   53   -3.4834E-04    1.1016E-05   -4.6895E+00    4.3002E-03    6.9010E-04   -1.4276E-03
   54    4.4103E-04   -2.1164E-06   -4.6199E+00   -4.6394E-03   -8.1225E-04   -7.0806E-04
   55    2.6279E-05    1.1884E-05   -5.0742E+00    2.4517E-03    6.6702E-04   -3.4690E-03
   56    4.2998E-04   -5.0976E-08   -4.9005E+00   -3.3034E-03   -8.6088E-04   -2.7979E-03
   57   -4.3119E-04   -5.5854E-06   -4.8778E+00    4.4096E-03    8.4525E-04    2.8254E-03
   58   -2.4633E-05   -1.5296E-05   -5.0332E+00   -3.7912E-03   -8.4663E-04    3.5363E-03
   59   -4.4343E-04    8.8859E-06   -4.5953E+00    4.9430E-03    9.4744E-04    7.1431E-04
   60    3.5180E-04    1.3946E-08   -4.6431E+00   -4.8763E-03   -9.7805E-04    1.4598E-03
   61   -3.4996E-04    1.7201E-05   -4.6527E+00    4.3325E-03    1.0874E-03   -1.4511E-03
   62    4.4199E-04    7.9199E-07   -4.5848E+00   -4.6534E-03   -1.1929E-03   -7.2333E-04
   63    2.4195E-05    1.1611E-05   -5.0397E+00    2.4754E-03    1.0930E-03   -3.5201E-03
   64    4.3510E-04   -8.8938E-07   -4.8690E+00   -3.3248E-03   -1.3190E-03   -2.8511E-03
   65   -3.9778E-04   -8.1422E-06   -4.8656E+00    4.2709E-03    9.6350E-04    2.9055E-03
   66   -9.0173E-07    1.9865E-08   -5.0409E+00   -3.5684E-03   -9.1993E-04    3.6297E-03
   67   -4.1319E-04    1.3383E-05   -4.5739E+00    4.7693E-03    1.2195E-03    7.4120E-04
   68    3.6648E-04    2.5745E-05   -4.6345E+00   -4.5276E-03   -1.2094E-03    1.5083E-03
   69   -3.3377E-04    2.8192E-05   -4.6325E+00    4.2052E-03    1.5212E-03   -1.4963E-03
   70    4.5659E-04    1.5818E-05   -4.5741E+00   -4.3228E-03   -1.5670E-03   -7.6431E-04
   71    2.8208E-05    1.0319E-05   -5.0339E+00    2.4282E-03    1.6221E-03   -3.6064E-03
   72    4.4163E-04    2.1782E-07   -4.8726E+00   -3.1486E-03   -1.8590E-03   -2.9626E-03
   73   -4.5266E-07    8.5989E-08   -1.8407E-06   -2.2477E-03   -2.0097E-03   -3.2371E-02
   74    4.0297E-07   -1.7779E-06    2.8662E-07    2.5692E-03    2.1550E-03   -2.6425E-02
   75    3.9012E-07   -1.4328E-06   -1.5829E-06   -1.3890E-03   -1.9252E-03   -3.2571E-02
   76   -1.6415E-07    9.2382E-07    1.5842E-07    1.9253E-03    2.5022E-03   -2.7512E-02
   77   -4.2383E-07   -1.8517E-06   -9.2032E-07   -7.8529E-04   -1.9095E-03   -3.2536E-02
   78   -4.7919E-08    3.5685E-07    2.3556E-07    1.1591E-03    2.4604E-03   -2.7509E-02
   79    3.7828E-09    2.0143E-06    1.9499E-06   -3.1989E-04   -1.9074E-03   -3.2511E-02
   80   -9.8274E-08   -1.6926E-06    5.6106E-07    5.5132E-04    2.4424E-03   -2.7478E-02
   81    1.5449E-07    5.0784E-07    6.4125E-07    9.4403E-05   -1.9112E-03   -3.2506E-02
   82   -3.0492E-08    8.9580E-07    2.8984E-07    2.5934E-05    2.4406E-03   -2.7465E-02
   83    5.7167E-07   -1.2220E-06   -5.2738E-07    5.2139E-04   -1.9211E-03   -3.2521E-02
   84   -3.7741E-07   -1.1072E-06    1.5308E-08   -4.9030E-04    2.4529E-03   -2.7475E-02
   85   -3.0171E-07   -2.8127E-06   -1.1285E-07    1.0318E-03   -1.9433E-03   -3.2553E-02
   86   -2.4659E-07    1.4361E-06    5.3813E-08   -1.0688E-03    2.4849E-03   -2.7508E-02
   87   -7.1227E-07    1.0241E-06   -8.6057E-07    1.7398E-03   -2.0004E-03   -3.2563E-02
   88    3.7708E-07    1.7328E-07    5.7358E-07   -1.7981E-03    2.5558E-03   -2.7540E-02
   89    1.2020E-06   -1.1086E-06    6.4928E-07    2.7760E-03   -2.1360E-03   -3.1398E-02
   90    6.3909E-09   -3.6868E-07   -1.1523E-06   -2.6930E-03    2.6558E-03   -2.7220E-02
   91   -7.3286E-07    2.2315E-06    1.6924E-06   -2.2522E-03   -1.0585E-03   -2.1293E-02
   92   -1.2726E-07    9.7796E-07   -1.2710E-06    2.0158E-03    6.9088E-04   -1.8678E-02
   93   -4.7977E-07   -1.1171E-06   -1.3758E-07   -1.7800E-03   -1.2563E-03   -2.1630E-02
   94    2.7040E-07    2.1850E-06    1.8042E-07    1.9152E-03    1.3665E-03   -1.9452E-02
   95   -2.4469E-07    1.7034E-06   -1.0513E-07   -1.0887E-03   -1.2198E-03   -2.1610E-02
   96   -3.3641E-08   -2.5110E-07    6.7981E-07    1.3118E-03    1.3802E-03   -1.9488E-02
   97   -3.4012E-07    1.3414E-07    2.2115E-07   -4.5313E-04   -1.1962E-03   -2.1581E-02
   98   -2.2049E-08    2.1839E-06    4.1796E-07    6.6843E-04    1.3487E-03   -1.9461E-02
   99   -2.5132E-07   -2.2871E-07   -4.0223E-07    1.4245E-04   -1.1970E-03   -2.1574E-02
  100    2.4466E-08   -7.4959E-07    1.9614E-07    5.6731E-05    1.3397E-03   -1.9449E-02
  101   -3.6429E-07    1.1926E-06   -5.1958E-07    7.5028E-04   -1.2239E-03   -2.1593E-02
  102   -6.4850E-08   -4.4789E-07    2.1857E-07   -5.5169E-04    1.3599E-03   -1.9460E-02
  103   -2.6018E-07    1.2570E-06   -2.9398E-07    1.4213E-03   -1.2831E-03   -2.1629E-02
  104   -2.1645E-07    1.8495E-06    4.9118E-07   -1.1946E-03    1.4130E-03   -1.9492E-02
  105   -7.8340E-07   -3.6927E-07    1.7391E-06    2.1430E-03   -1.3589E-03   -2.1610E-02
  106   -1.2798E-08   -1.7023E-06    5.4381E-07   -1.8642E-03    1.4836E-03   -1.9507E-02
  107   -4.2755E-07    1.2399E-06    1.8394E-06    2.4245E-03   -9.7594E-04   -2.0828E-02
  108    1.0687E-07   -1.8889E-06   -1.8362E-06   -2.2818E-03    1.3173E-03   -1.9224E-02
  109   -4.0128E-07    3.1513E-07    1.5937E-06   -1.7448E-03    1.7263E-04   -1.5914E-02
  110   -5.9259E-08   -1.0147E-06    1.0205E-07    1.5319E-03   -4.6500E-04   -1.4219E-02
  111   -3.3422E-07    3.3711E-07   -4.3111E-07   -1.5565E-03   -2.0649E-04   -1.6230E-02
  112    3.5210E-07   -1.1600E-07    5.7921E-08    1.5457E-03    2.1091E-04   -1.4818E-02
  113    5.9455E-08   -2.3252E-06   -7.0764E-08   -1.0367E-03   -2.2782E-04   -1.6238E-02
  114    1.1709E-07   -4.2679E-07   -1.2358E-07    1.1569E-03    3.2613E-04   -1.4884E-02
  115   -8.9950E-08   -1.1792E-06   -2.6048E-08   -4.4872E-04   -2.0888E-04   -1.6217E-02
  116    4.2680E-10    2.5401E-06    2.1309E-07    6.1776E-04    3.2021E-04   -1.4872E-02
  117   -5.7407E-08    1.2390E-06    7.7305E-08    1.4270E-04   -2.0996E-04   -1.6212E-02
  118   -2.0539E-08    2.5433E-06    2.9446E-07    4.8409E-05    3.1529E-04   -1.4863E-02
  119   -5.9588E-08    3.6574E-07   -1.4748E-07    7.3938E-04   -2.4042E-04   -1.6230E-02
  120   -3.6397E-08   -1.3948E-06    3.1602E-07   -5.2607E-04    3.3607E-04   -1.4874E-02
  121   -3.1395E-07   -1.5020E-06   -3.4843E-07    1.3345E-03   -2.9036E-04   -1.6256E-02
  122   -1.9330E-07   -1.9022E-06   -6.2699E-08   -1.0933E-03    3.7759E-04   -1.4898E-02
  123   -3.2321E-07   -2.7322E-06   -5.0939E-08    1.8207E-03   -2.7024E-04   -1.6213E-02
  124   -2.8675E-08   -7.0540E-07    1.7893E-07   -1.5811E-03    3.7834E-04   -1.4892E-02
  125   -9.0282E-08   -5.3748E-07    2.4727E-06    1.8481E-03    2.8800E-04   -1.5619E-02
  126   -1.8975E-07   -9.6946E-07    4.0629E-07   -1.7579E-03    5.0658E-05   -1.4630E-02
  127    7.5120E-08    2.3721E-06   -4.1898E-08   -1.3163E-03    1.1021E-03   -1.2243E-02
  128    6.2934E-09    3.2366E-07    3.5281E-07    1.1615E-03   -1.3207E-03   -1.0995E-02
  129   -2.1704E-07    2.0815E-06    1.2754E-07   -1.2281E-03    6.8142E-04   -1.2545E-02
  130   -1.8916E-07    1.2992E-06    3.3590E-07    1.1790E-03   -7.2282E-04   -1.1486E-02
  131    1.3614E-07    1.0489E-06   -1.6050E-07   -8.6582E-04    5.8953E-04   -1.2585E-02
  132   -2.0607E-07    2.0826E-06    1.7730E-07    9.2724E-04   -5.3801E-04   -1.1582E-02
  133   -3.1097E-08   -7.2897E-07   -4.9915E-07   -3.8258E-04    5.8250E-04   -1.2578E-02
  134   -1.4359E-08   -2.1345E-06   -1.0432E-07    5.1056E-04   -5.0302E-04   -1.1589E-02
  135    1.4667E-08   -7.9626E-07   -1.6375E-07    1.3655E-04    5.7637E-04   -1.2577E-02
  136   -2.9156E-08   -7.9830E-07   -3.7032E-08    3.0260E-05   -4.9540E-04   -1.1587E-02
  137   -3.9492E-08   -2.0455E-06    2.0326E-07    6.5419E-04    5.5473E-04   -1.2591E-02
  138   -4.0026E-08   -3.9182E-07    1.7104E-08   -4.6043E-04   -4.7989E-04   -1.1595E-02
  139   -1.0202E-08    2.0178E-06    2.7387E-07    1.1244E-03    5.4296E-04   -1.2601E-02
  140    1.7714E-07   -1.9307E-08    2.4604E-07   -9.1663E-04   -4.6842E-04   -1.1607E-02
  141   -1.2408E-07   -1.4956E-06    5.1521E-08    1.4357E-03    6.5616E-04   -1.2531E-02
  142    1.4840E-07    2.5078E-06   -3.9992E-08   -1.2551E-03   -5.4047E-04   -1.1575E-02
  143   -1.7801E-07   -2.7780E-06   -1.4020E-06    1.4176E-03    1.2097E-03   -1.2045E-02
  144   -8.4836E-08   -6.1417E-08    2.0328E-07   -1.3433E-03   -9.1429E-04   -1.1325E-02
  145   -4.7741E-08   -3.3341E-07    2.8233E-08   -9.8416E-04    1.7899E-03   -9.4084E-03
  146   -1.5249E-08    1.0676E-07   -1.7348E-07    8.7830E-04   -1.9541E-03   -8.4319E-03
  147    4.2872E-09    1.1050E-07   -2.1142E-07   -9.2698E-04    1.3872E-03   -9.6958E-03
  148    2.6274E-08    1.7523E-07    1.9579E-07    8.7623E-04   -1.4445E-03   -8.8433E-03
  149   -1.4432E-08    1.7636E-07   -1.3446E-07   -6.7419E-04    1.2459E-03   -9.7659E-03
  150    6.2671E-09    1.4088E-09    1.0469E-07    7.0451E-04   -1.2274E-03   -8.9627E-03
  151   -5.1248E-08    4.1190E-08    7.6617E-10   -2.9875E-04    1.2084E-03   -9.7767E-03
  152    6.8156E-09    1.5300E-07    1.2408E-07    3.9283E-04   -1.1561E-03   -8.9908E-03
  153   -2.2306E-08   -9.6358E-08   -6.0957E-08    1.2551E-04    1.1953E-03   -9.7805E-03
  154   -9.7280E-09   -8.5687E-08    6.3448E-08    1.0693E-05   -1.1342E-03   -8.9976E-03
  155    8.4429E-09   -3.7530E-07   -1.0654E-07    5.4438E-04    1.1882E-03   -9.7874E-03
  156   -2.3885E-09    2.3295E-07    2.6037E-08   -3.8326E-04   -1.1263E-03   -9.0035E-03
  157    1.5589E-07   -5.5769E-08    1.4946E-08    8.9854E-04    1.2182E-03   -9.7789E-03
  158   -3.6230E-09    8.2142E-08    6.7122E-08   -7.3320E-04   -1.1470E-03   -9.0007E-03
  159   -7.2103E-08    8.4934E-08   -2.5377E-07    1.1044E-03    1.3872E-03   -9.6833E-03
  160   -1.7780E-08    2.5722E-07    6.6397E-08   -9.6933E-04   -1.2688E-03   -8.9443E-03
  161   -1.0931E-07   -8.4093E-08   -3.3635E-07    1.0945E-03    1.8820E-03   -9.2763E-03
  162    3.6756E-08    2.5627E-08    3.6352E-08   -1.0279E-03   -1.6332E-03   -8.7056E-03
  163   -3.9760E-08   -2.0040E-08    1.4838E-07   -7.3148E-04    2.2869E-03   -7.0790E-03
  164   -2.6967E-08    7.6705E-08    6.1062E-08    6.6423E-04   -2.4114E-03   -6.2888E-03
  165   -1.5538E-08    3.4937E-08   -9.7130E-08   -6.8128E-04    1.9242E-03   -7.3482E-03
  166   -2.0769E-10    3.5197E-07   -2.6382E-09    6.4017E-04   -1.9841E-03   -6.6356E-03
  167   -6.0718E-09   -2.3781E-07   -8.4548E-08   -5.0083E-04    1.7579E-03   -7.4421E-03
  168   -1.8854E-08   -6.0601E-08    5.8582E-08    5.1586E-04   -1.7606E-03   -6.7705E-03
  169    9.5591E-09   -2.9040E-07   -8.9706E-08   -2.1787E-04    1.6960E-03   -7.4705E-03
  170   -1.8629E-08   -7.1676E-08    1.6988E-08    2.8592E-04   -1.6653E-03   -6.8177E-03
  171   -2.3419E-08   -1.7957E-07   -9.6509E-08    1.1284E-04    1.6767E-03   -7.4794E-03
  172   -2.6361E-09   -3.2365E-08    5.1689E-08   -6.5866E-06   -1.6318E-03   -6.8331E-03
  173   -2.0209E-08   -8.3182E-08   -1.4566E-07    4.3688E-04    1.6841E-03   -7.4792E-03
  174   -1.7069E-08   -8.8058E-08    1.2867E-08   -3.0981E-04   -1.6314E-03   -6.8360E-03
  175   -2.5741E-08   -2.6315E-07   -9.2161E-08    6.9815E-04    1.7463E-03   -7.4519E-03
  176   -9.4347E-09    2.3294E-07   -2.2251E-08   -5.7114E-04   -1.6773E-03   -6.8189E-03
  177   -8.1058E-08   -3.3390E-07    7.9669E-08    8.4179E-04    1.9389E-03   -7.3381E-03
  178    2.2732E-08    3.2589E-07   -9.0708E-09   -7.3946E-04   -1.8251E-03   -6.7427E-03
  179   -7.3624E-08   -4.2167E-07   -1.7831E-07    8.5161E-04    2.3639E-03   -6.9951E-03
  180    4.3884E-08    3.2412E-07   -1.4267E-07   -7.9029E-04   -2.1573E-03   -6.5192E-03
  181   -4.2647E-09    1.2305E-07    7.1519E-08   -5.4232E-04    2.6280E-03   -5.0944E-03
  182   -1.0858E-08    1.8262E-07    5.9347E-08    5.0512E-04   -2.7231E-03   -4.4421E-03
  183   -4.1087E-08   -2.5224E-07   -7.0038E-08   -4.9070E-04    2.3116E-03   -5.3428E-03
  184    2.6056E-09    6.9681E-08    2.4576E-08    4.6164E-04   -2.3685E-03   -4.7337E-03
  185   -1.9142E-08   -3.5497E-07   -4.1910E-08   -3.5831E-04    2.1390E-03   -5.4531E-03
  186   -1.3435E-08    1.8025E-07    2.2077E-10    3.6644E-04   -2.1544E-03   -4.8769E-03
  187    1.2856E-08   -9.5515E-08   -2.2547E-08   -1.4886E-04    2.0621E-03   -5.4966E-03
  188   -1.0215E-08    5.7264E-08    3.8627E-08    1.9772E-04   -2.0475E-03   -4.9392E-03
  189   -1.0372E-08    6.8389E-08   -5.4539E-08    1.0043E-04    2.0389E-03   -5.5102E-03
  190    3.8984E-10    3.2399E-07    4.6544E-08   -2.0166E-05   -2.0068E-03   -4.9622E-03
  191    1.3240E-08    6.6290E-08   -6.1357E-08    3.4344E-04    2.0574E-03   -5.5033E-03
  192   -7.9242E-09   -7.4104E-08    5.7591E-08   -2.4660E-04   -2.0123E-03   -4.9622E-03
  193    1.3475E-09   -1.2027E-07   -9.4663E-08    5.3443E-04    2.1395E-03   -5.4600E-03
  194    1.7495E-08    9.0137E-08    2.1272E-08   -4.3859E-04   -2.0742E-03   -4.9326E-03
  195   -4.1504E-08   -1.4708E-07   -9.5487E-08    6.4041E-04    2.3346E-03   -5.3354E-03
  196   -1.2537E-08    2.9692E-07   -2.2046E-08   -5.6176E-04   -2.2301E-03   -4.8428E-03
  197   -1.7323E-08   -4.8606E-08   -3.8555E-07    6.6999E-04    2.6925E-03   -5.0474E-03
  198    1.6782E-08    6.8493E-08   -3.7654E-08   -6.1295E-04   -2.5227E-03   -4.6368E-03
  199    1.1181E-08   -2.7915E-07    4.3095E-09   -4.0330E-04    2.8382E-03   -3.3665E-03
  200    1.3844E-08    1.1660E-07    3.1200E-08    3.8945E-04   -2.9114E-03   -2.8219E-03
  201   -8.0836E-09   -1.4665E-07   -3.8567E-08   -3.4761E-04    2.5679E-03   -3.5927E-03
  202    1.0177E-08    8.9259E-08    4.8767E-08    3.2991E-04   -2.6196E-03   -3.0651E-03
