 *************************************************************************
 ************		    FSM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Times of iteration:       209
 Computing time    :     44.08 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
   53    7.0917E+00   -4.9452E+01    3.7500E+01   -8.0426E-03   -6.3406E-02   -9.2572E-03
   54    7.0917E+00   -4.9452E+01    3.2500E+01   -4.2748E-03   -6.2918E-02   -4.8561E-03
   55    7.0917E+00   -4.9452E+01    2.7500E+01   -1.2747E-03   -6.2727E-02   -3.2406E-03
   56    7.0917E+00   -4.9452E+01    2.2500E+01    1.4736E-03   -6.2732E-02   -3.2459E-03
   57    7.0917E+00   -4.9452E+01    1.7500E+01    4.4837E-03   -6.2938E-02   -4.8714E-03
   58    7.0917E+00   -4.9452E+01    1.2500E+01    8.2671E-03   -6.3462E-02   -9.2762E-03
   59    7.0917E+00   -4.9452E+01    7.5000E+00    1.2680E-02   -6.4295E-02   -2.0648E-02
   60    7.0917E+00   -4.9452E+01    2.5000E+00    8.9541E-03   -5.9723E-02   -5.3775E-02
   61    1.1100E+01   -4.8710E+01    4.7500E+01   -3.4380E-03   -3.5341E-02   -3.3030E-02
   62    1.1100E+01   -4.8710E+01    4.2500E+01   -8.1364E-03   -3.9986E-02   -1.3877E-02
   63    1.1100E+01   -4.8710E+01    3.7500E+01   -6.2596E-03   -3.9737E-02   -5.3394E-03
   64    1.1100E+01   -4.8710E+01    3.2500E+01   -3.5995E-03   -3.9253E-02   -1.5461E-03
   65    1.1100E+01   -4.8710E+01    2.7500E+01   -1.1003E-03   -3.9020E-02   -7.0041E-05
   66    1.1100E+01   -4.8710E+01    2.2500E+01    1.2955E-03   -3.9024E-02   -7.6195E-05
   67    1.1100E+01   -4.8710E+01    1.7500E+01    3.8006E-03   -3.9270E-02   -1.5647E-03
   68    1.1100E+01   -4.8710E+01    1.2500E+01    6.4661E-03   -3.9775E-02   -5.3671E-03
   69    1.1100E+01   -4.8710E+01    7.5000E+00    8.3430E-03   -4.0054E-02   -1.3886E-02
   70    1.1100E+01   -4.8710E+01    2.5000E+00    3.8468E-03   -3.5513E-02   -3.3099E-02
   71    1.5034E+01   -4.7643E+01    4.7500E+01   -1.2652E-03   -2.3783E-02   -2.0193E-02
   72    1.5034E+01   -4.7643E+01    4.2500E+01   -4.8462E-03   -2.7877E-02   -9.0180E-03
   73    1.5034E+01   -4.7643E+01    3.7500E+01   -4.4182E-03   -2.8291E-02   -3.1241E-03
   74    1.5034E+01   -4.7643E+01    3.2500E+01   -2.7779E-03   -2.8030E-02   -1.0829E-04
   75    1.5034E+01   -4.7643E+01    2.7500E+01   -8.7230E-04   -2.7841E-02    1.1527E-03
   76    1.5034E+01   -4.7643E+01    2.2500E+01    1.0630E-03   -2.7845E-02    1.1455E-03
   77    1.5034E+01   -4.7643E+01    1.7500E+01    2.9733E-03   -2.8043E-02   -1.3097E-04
   78    1.5034E+01   -4.7643E+01    1.2500E+01    4.6201E-03   -2.8315E-02   -3.1645E-03
   79    1.5034E+01   -4.7643E+01    7.5000E+00    5.0569E-03   -2.7912E-02   -9.0786E-03
