 *************************************************************************
 ************		    DDM3D_tri_part1		                    **********
 ************	        Algorithm developed by                  **********
 ************	 Kuriyama et al.(1993) and Tang et al. (2019)   **********
 ************	   Codes developed by Wong and Cui (2021)	    **********
 ************	       DDFS3D (version 1.0), 31-5-2021		    **********
 *************************************************************************
 Title: Penny shape crack (section S3-1 of the companion paper) to verify the triangular element                                 
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:       731
 Number of nodes   :       398
 Times of iteration:        54
 Computing time    :     10.65 s
 Coordinates of center of gravity and displacement discontinuities of each element:
  No.	     Gx            Gy            Gz            Dx            Dy           Dz 
   53    7.3212E-02   -9.4460E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2134E-05
   54   -2.2937E-02   -8.6820E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1684E-05
   55    2.9699E-01   -7.8447E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.4087E-05
   56    3.9383E-01   -7.9431E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9929E-05
   57    7.0775E-01   -6.5679E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9437E-05
   58    5.6325E-01   -6.8557E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.9892E-05
   59    9.0645E-01   -3.3148E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9577E-05
   60    9.5345E-01   -1.4335E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9887E-05
   61    8.8251E-01   -7.0317E-02    0.0000E+00    0.0000E+00    0.0000E+00   -2.9941E-05
   62    4.2994E-01    8.3671E-01    0.0000E+00    0.0000E+00    0.0000E+00   -2.2912E-05
   63   -5.2361E-01    8.1116E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9501E-05
   64   -6.7455E-01    6.9158E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9294E-05
   65    3.0767E-01    6.1815E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4665E-05
   66   -7.9820E-01    5.4421E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.9295E-05
   67   -5.1877E-01    6.0245E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7996E-05
   68   -8.5574E-01    4.6601E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7295E-05
   69   -7.1566E-01    4.5715E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3454E-05
   70   -9.3112E-01    2.8690E-01    0.0000E+00    0.0000E+00    0.0000E+00   -1.7320E-05
   71   -7.8590E-01    3.0218E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.4084E-05
   72   -9.6477E-01    9.4857E-02    0.0000E+00    0.0000E+00    0.0000E+00   -1.8617E-05
   73    2.0373E-01    5.9602E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.7780E-05
