 *************************************************************************
 ************		    DDFS3D_qua_part2		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                                                    
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Computing time    :    223.50 s
Stresses and displacments at the controid of each element in the respective local c
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
   53    7.6523E-08    2.6600E-06    3.0932E-07    1.3478E-03   -2.1040E-03   -2.9478E-02
   54    9.7576E-07    3.3003E-06    1.7062E-06    2.0025E-03   -2.1345E-03   -2.9465E-02
   55    8.3909E-07   -2.4665E-06   -2.1695E-06    2.6636E-03   -1.9328E-03   -2.8534E-02
   56   -3.4789E-07   -5.5254E-07   -2.7799E-06   -2.2072E-03   -7.7732E-04   -1.9702E-02
   57    1.5707E-07    9.5220E-08   -1.8491E-06   -2.0794E-03   -1.2589E-03   -2.0329E-02
   58    1.2097E-07    1.9832E-06   -4.9877E-07   -1.5661E-03   -1.2678E-03   -2.0381E-02
   59    2.1304E-07    1.7754E-06   -8.9921E-08   -1.0124E-03   -1.2277E-03   -2.0355E-02
   60   -1.9765E-07   -1.7777E-06   -5.1827E-08   -4.9204E-04   -1.2001E-03   -2.0332E-02
   61   -8.7032E-08    1.3620E-06   -2.0444E-07    3.7330E-06   -1.1906E-03   -2.0322E-02
   62   -2.5446E-08    2.2919E-06   -1.6884E-07    4.9938E-04   -1.1987E-03   -2.0329E-02
   63    1.4103E-07    3.0792E-07   -2.7379E-07    1.0192E-03   -1.2241E-03   -2.0349E-02
   64   -1.6160E-07    1.0405E-06    1.4973E-07    1.5707E-03   -1.2596E-03   -2.0371E-02
   65    3.1092E-07   -2.2099E-06   -1.8811E-07    2.0769E-03   -1.2344E-03   -2.0312E-02
   66    5.4243E-07   -2.1349E-06   -1.7601E-06    2.1918E-03   -6.8092E-04   -1.9673E-02
   67   -3.1539E-07    2.9145E-07    2.1107E-07   -1.6776E-03    4.1494E-04   -1.4900E-02
   68   -8.8291E-09   -2.2966E-06   -3.7020E-08   -1.6924E-03   -1.2890E-04   -1.5384E-02
