 *************************************************************************
 ************		    DDM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Penny shape crack(section 3.1 of the companion paper)to verify the quadrilateral element                                  
 Modulus=  4.0000E+04  Poisson ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1038
 Number of nodes   :      1091
 Times of iteration:        59
 Computing time    :      9.62 s
 Coordinates of center of gravity and displacement discontinuities of each element:
  No.	     Gx            Gy            Gz            Dx            Dy           Dz 
   54   -2.6671E-01    3.2552E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.5048E-05
   55   -7.1022E-01    3.3348E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.8305E-05
   56   -6.5909E-01    3.3654E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.1346E-05
   57   -6.0639E-01    3.4265E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.3961E-05
   58   -5.5244E-01    3.5021E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.6226E-05
   59   -4.9752E-01    3.5804E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.8195E-05
   60   -4.4186E-01    3.6543E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.9902E-05
   61   -3.8570E-01    3.7214E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.1364E-05
   62   -3.2918E-01    3.7840E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.2588E-05
   63   -2.7246E-01    3.8461E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.3578E-05
   64   -7.0089E-01    3.8306E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7196E-05
   65   -6.5219E-01    3.8703E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.0101E-05
   66   -6.0173E-01    3.9436E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.2593E-05
   67   -5.4982E-01    4.0328E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4753E-05
   68   -4.9680E-01    4.1247E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.6635E-05
   69   -4.4293E-01    4.2114E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.8273E-05
   70   -3.8844E-01    4.2901E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.9683E-05
   71   -3.3346E-01    4.3636E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.0870E-05
   72   -2.7806E-01    4.4362E-01    0.0000E+00    0.0000E+00    0.0000E+00   -5.1830E-05
   73   -6.8982E-01    4.3131E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.5967E-05
   74   -6.4392E-01    4.3637E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.8698E-05
   75   -5.9599E-01    4.4511E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.1033E-05
   76   -5.4636E-01    4.5556E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.3059E-05
   77   -4.9543E-01    4.6627E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4830E-05
   78   -4.4352E-01    4.7635E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.6380E-05
   79   -3.9088E-01    4.8553E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.7723E-05
   80   -3.3755E-01    4.9408E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.8858E-05
   81   -2.8360E-01    5.0249E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.9778E-05
   82   -6.7790E-01    4.7724E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.4608E-05
   83   -6.3546E-01    4.8366E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7108E-05
   84   -5.9040E-01    4.9416E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.9243E-05
   85   -5.4318E-01    5.0647E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.1104E-05
   86   -4.9436E-01    5.1899E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.2742E-05
   87   -4.4438E-01    5.3076E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4186E-05
   88   -3.9352E-01    5.4149E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.5445E-05
   89   -3.4179E-01    5.5146E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.6515E-05
   90   -2.8921E-01    5.6117E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.7383E-05
   91   -6.6678E-01    5.1909E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3117E-05
   92   -6.2874E-01    5.2758E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.5285E-05
   93   -5.8676E-01    5.4055E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.7163E-05
   94   -5.4181E-01    5.5532E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.8828E-05
   95   -4.9482E-01    5.7016E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.0312E-05
   96   -4.4642E-01    5.8406E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.1633E-05
   97   -3.9699E-01    5.9675E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.2794E-05
   98   -3.4649E-01    6.0845E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.3786E-05
   99   -2.9502E-01    6.1964E-01    0.0000E+00    0.0000E+00    0.0000E+00   -4.4590E-05
  100   -6.5890E-01    5.5389E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.1511E-05
  101   -6.2609E-01    5.6682E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.3151E-05
  102   -5.8670E-01    5.8390E-01    0.0000E+00    0.0000E+00    0.0000E+00   -3.4702E-05
