 *************************************************************************
 ************		    FSM3D_qua_part2		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                                     
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Computing time    :    173.44 s
Stresses and displacments at the controid of each element in the respective local coor
  No.	    Szx            Szy          Szz            Ux            Uy           Uz 
   52   -6.1547E-10   -1.0463E-10    2.7712E-09   -7.5127E-06   -1.0116E-06   -5.1624E-05
   53   -1.6695E-09    2.9995E-09   -9.5679E-11   -5.4624E-06   -1.2442E-06   -5.1635E-05
   54    2.9382E-10    2.8353E-09   -3.9257E-10   -3.1786E-06   -1.2033E-06   -5.1509E-05
   55    1.5048E-09    2.3661E-09    6.6364E-10   -9.2091E-07   -1.1613E-06   -5.1436E-05
   56    1.2341E-09   -1.0696E-09   -2.7199E-10    1.3136E-06   -1.1661E-06   -5.1447E-05
   57    8.0547E-10   -1.1719E-09    6.3521E-10    3.5762E-06   -1.2196E-06   -5.1544E-05
   58    8.8460E-10    2.3095E-10   -7.1829E-11    5.8701E-06   -1.2786E-06   -5.1697E-05
   59    2.7776E-10    5.5915E-10   -2.7010E-09    7.9337E-06   -1.0784E-06   -5.1713E-05
   60   -8.1075E-10    1.7462E-09   -2.9401E-09    8.6446E-06    8.2108E-07   -5.0283E-05
   61   -4.4729E-10    9.0607E-10    1.2267E-09   -5.7021E-06    3.8920E-06   -3.7062E-05
   62   -9.0859E-10    1.9418E-10    2.8697E-09   -5.5755E-06    1.9196E-06   -3.8234E-05
   63   -7.7880E-10    3.0094E-09    2.1873E-10   -4.3389E-06    1.4210E-06   -3.8307E-05
   64    1.7808E-10    2.1417E-09    1.5036E-10   -2.6192E-06    1.3568E-06   -3.8216E-05
   65    6.9687E-10   -1.7435E-09    4.1830E-10   -7.5447E-07    1.3700E-06   -3.8156E-05
   66    7.7521E-10    1.6643E-09    2.0113E-10    1.1391E-06    1.3660E-06   -3.8167E-05
   67    5.3193E-10    6.8132E-10    7.3703E-11    3.0060E-06    1.3439E-06   -3.8250E-05
   68    1.9029E-10   -2.3420E-09   -1.0390E-10    4.7286E-06    1.3959E-06   -3.8363E-05
   69    2.8151E-10    3.1898E-10   -4.0056E-10    5.9663E-06    1.8793E-06   -3.8311E-05
   70    5.7740E-10    1.3548E-11   -1.5524E-09    6.0965E-06    3.8420E-06   -3.7163E-05
   71   -8.8942E-12    1.7538E-09   -6.1321E-10   -4.0630E-06    6.0226E-06   -2.7849E-05
   72   -4.9980E-10   -1.9633E-09    4.1537E-10   -4.0118E-06    4.3075E-06   -2.8858E-05
   73   -5.7351E-10   -4.4665E-10    4.4551E-10   -3.2570E-06    3.6386E-06   -2.9034E-05
   74   -4.1919E-11    2.7711E-09    3.1779E-10   -2.0241E-06    3.4442E-06   -2.9009E-05
   75    3.0126E-10   -1.9706E-09    2.8771E-10   -5.7031E-07    3.4034E-06   -2.8975E-05
   76    2.0326E-10   -2.3031E-09    5.0285E-11    9.4404E-07    3.4008E-06   -2.8985E-05
   77    3.0127E-10    4.6305E-11   -6.3078E-11    2.3981E-06    3.4361E-06   -2.9040E-05
   78    1.1990E-10   -2.6217E-09   -4.6563E-10    3.6300E-06    3.6245E-06   -2.9086E-05
   79    9.5240E-11    5.0790E-10   -7.9539E-11    4.3803E-06    4.2886E-06   -2.8929E-05
   80    2.2485E-11   -2.2488E-10    2.4702E-09    4.4182E-06    6.0138E-06   -2.7935E-05
   81   -1.3899E-10    2.3084E-09    2.5860E-10   -2.9131E-06    7.5517E-06   -2.0686E-05
   82   -1.8924E-10    1.1820E-10   -6.1509E-11   -2.8427E-06    6.1204E-06   -2.1568E-05
   83   -3.2967E-10    2.1967E-09    1.4543E-10   -2.3527E-06    5.3936E-06   -2.1833E-05
   84    5.3369E-11    3.5610E-10    3.7516E-10   -1.4851E-06    5.0978E-06   -2.1881E-05
   85    8.8539E-11    2.1427E-10   -3.0562E-10   -3.9759E-07    5.0021E-06   -2.1880E-05
   86    1.8415E-10   -7.0931E-10   -1.7274E-10    7.5857E-07    5.0011E-06   -2.1890E-05
   87    2.0354E-10    1.9771E-09   -1.1107E-10    1.8453E-06    5.0948E-06   -2.1910E-05
   88   -7.8174E-11    1.5667E-09   -4.0811E-12    2.7102E-06    5.3895E-06   -2.1881E-05
   89    1.6042E-10   -2.0275E-09   -4.2982E-10    3.1931E-06    6.1181E-06   -2.1634E-05
   90    3.0637E-11   -1.4108E-09    3.6281E-10    3.2490E-06    7.5619E-06   -2.0763E-05
   91   -2.9569E-11    9.0874E-10    2.1708E-10   -2.0980E-06    8.6044E-06   -1.4824E-05
   92   -3.0730E-11   -1.2271E-10    1.2321E-11   -1.9903E-06    7.4293E-06   -1.5590E-05
   93   -3.3717E-11    1.3789E-10    2.9247E-10   -1.6496E-06    6.7178E-06   -1.5913E-05
   94    1.8989E-10   -1.6311E-09    1.9932E-10   -1.0416E-06    6.3652E-06   -1.6025E-05
   95    3.9475E-11    1.6101E-09   -5.4505E-12   -2.5202E-07    6.2290E-06   -1.6059E-05
   96    6.5776E-11    6.1874E-10   -6.3269E-12    5.9911E-07    6.2295E-06   -1.6068E-05
   97    1.5322E-11    1.8884E-09    1.4616E-10    1.3875E-06    6.3670E-06   -1.6052E-05
   98    4.3289E-11    6.8424E-10    2.1641E-10    1.9921E-06    6.7222E-06   -1.5957E-05
   99    1.5991E-10    2.0477E-09    9.8505E-11    2.3257E-06    7.4391E-06   -1.5650E-05
  100   -3.8529E-11    8.0512E-10   -2.0409E-10    2.4210E-06    8.6240E-06   -1.4893E-05
  101   -2.2867E-10   -1.0637E-10    3.1441E-10   -1.5260E-06    9.2591E-06   -9.8790E-06
  102   -5.1314E-11    7.2959E-10    2.0873E-10   -1.3807E-06    8.3067E-06   -1.0536E-05
  103   -1.6713E-11    3.8358E-10   -2.7193E-11   -1.1266E-06    7.6511E-06   -1.0888E-05
  104    1.1111E-11    1.7547E-09    2.4643E-10   -6.9924E-07    7.2812E-06   -1.1049E-05
  105   -2.0009E-11    2.5042E-09    4.6323E-10   -1.3828E-07    7.1229E-06   -1.1110E-05
  106   -1.8142E-13   -2.2744E-09    1.0832E-10    4.7067E-07    7.1248E-06   -1.1118E-05
