 *************************************************************************
 ************		    FSM3D_tri_part1		        **********
 ************	      Algorithm developed by                    **********
 ************	  Kuriyama et al.(1995) and Wong & Cui (2021)   **********
 ************	   Codes developed by Wong & Cui (2021)	        **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section S3-2 of the companion paper)to verify the triangular element                                  
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3504
 Number of nodes   :      1754
 Times of iteration:       239
 Computing time    :    321.10 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
   52    1.1626E+01   -4.8593E+01    9.2593E+00   -8.1393E-03    3.9605E-02   -7.8498E-03
   53    1.0316E+01   -4.8887E+01    1.8519E+00    5.2463E-03   -4.0090E-02   -4.3710E-02
   54    1.1626E+01   -4.8593E+01    3.7037E+00   -7.4603E-03    3.8612E-02   -2.4353E-02
   55    1.4217E+01   -4.7899E+01    4.6296E+01   -3.8687E-03   -2.8834E-02   -1.9533E-02
   56    1.5498E+01   -4.7500E+01    4.8148E+01    6.9622E-04    2.3503E-02   -2.1441E-02
   57    1.4217E+01   -4.7899E+01    4.0741E+01   -6.0118E-03   -3.1129E-02   -7.7933E-03
   58    1.5498E+01   -4.7500E+01    4.2593E+01    4.9816E-03    2.7905E-02   -7.9452E-03
   59    1.4217E+01   -4.7899E+01    3.5185E+01   -4.3703E-03   -3.0740E-02   -2.2296E-03
   60    1.5498E+01   -4.7500E+01    3.7037E+01    4.3885E-03    2.8109E-02   -1.5891E-03
   61    1.4217E+01   -4.7899E+01    2.9630E+01   -1.9684E-03   -3.0326E-02    1.7651E-04
   62    1.5498E+01   -4.7500E+01    3.1481E+01    2.4727E-03    2.7720E-02    1.4040E-03
   63    1.4217E+01   -4.7899E+01    2.4074E+01    4.8054E-04   -3.0230E-02    7.1232E-04
   64    1.5498E+01   -4.7500E+01    2.5926E+01    3.1747E-04    2.7537E-02    2.4203E-03
   65    1.4217E+01   -4.7899E+01    1.8519E+01    2.9467E-03   -3.0464E-02   -3.4085E-04
   66    1.5498E+01   -4.7500E+01    2.0370E+01   -1.8527E-03    2.7657E-02    1.9492E-03
   67    1.4217E+01   -4.7899E+01    1.2963E+01    5.3034E-03   -3.0983E-02   -3.5544E-03
   68    1.5498E+01   -4.7500E+01    1.4815E+01   -3.9219E-03    2.8058E-02   -2.2959E-04
   69    1.4217E+01   -4.7899E+01    7.4074E+00    6.4375E-03   -3.1045E-02   -1.0685E-02
