 *************************************************************************
 ************		    DDFS3D_qua_part1		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Times of iteration:        94
 Computing time    :     40.89 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
   54    3.0098E+00   -4.9869E+01    6.8182E+00    6.1850E+00   -5.5131E+01   -2.1223E+01
   55    3.0098E+00   -4.9869E+01    2.2727E+00    4.0902E+00   -5.4348E+01   -4.0459E+01
   56    7.0130E+00   -4.9465E+01    4.7727E+01   -2.0679E+00   -2.3577E+01   -2.1774E+01
   57    7.0130E+00   -4.9465E+01    4.3182E+01   -4.1953E+00   -2.4620E+01   -1.0016E+01
   58    7.0130E+00   -4.9465E+01    3.8636E+01   -2.9304E+00   -2.4188E+01   -5.7694E+00
   59    7.0130E+00   -4.9465E+01    3.4091E+01   -1.7307E+00   -2.3966E+01   -3.9962E+00
   60    7.0130E+00   -4.9465E+01    2.9545E+01   -7.9787E-01   -2.3879E+01   -3.2274E+00
   61    7.0130E+00   -4.9465E+01    2.5000E+01   -1.7099E-03   -2.3858E+01   -3.0061E+00
   62    7.0130E+00   -4.9465E+01    2.0455E+01    7.9479E-01   -2.3883E+01   -3.2228E+00
   63    7.0130E+00   -4.9465E+01    1.5909E+01    1.7282E+00   -2.3974E+01   -3.9875E+00
   64    7.0130E+00   -4.9465E+01    1.1364E+01    2.9247E+00   -2.4203E+01   -5.7579E+00
   65    7.0130E+00   -4.9465E+01    6.8182E+00    4.1564E+00   -2.4632E+01   -9.9998E+00
   66    7.0130E+00   -4.9465E+01    2.2727E+00    1.9300E+00   -2.3296E+01   -2.1627E+01
   67    1.0971E+01   -4.8740E+01    4.7727E+01   -9.2439E-01   -1.4459E+01   -1.4148E+01
   68    1.0971E+01   -4.8740E+01    4.3182E+01   -2.7304E+00   -1.5575E+01   -7.0911E+00
   69    1.0971E+01   -4.8740E+01    3.8636E+01   -2.2617E+00   -1.5439E+01   -3.9439E+00
   70    1.0971E+01   -4.8740E+01    3.4091E+01   -1.4599E+00   -1.5241E+01   -2.4504E+00
   71    1.0971E+01   -4.8740E+01    2.9545E+01   -7.0152E-01   -1.5135E+01   -1.7680E+00
   72    1.0971E+01   -4.8740E+01    2.5000E+01   -3.1437E-03   -1.5104E+01   -1.5684E+00
   73    1.0971E+01   -4.8740E+01    2.0455E+01    6.9495E-01   -1.5137E+01   -1.7652E+00
   74    1.0971E+01   -4.8740E+01    1.5909E+01    1.4517E+00   -1.5246E+01   -2.4460E+00
   75    1.0971E+01   -4.8740E+01    1.1364E+01    2.2454E+00   -1.5444E+01   -3.9422E+00
